Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",TOTAL,NOT SPECIFIED,"93,080",11
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","38,140",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),165,22.1
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),702,34.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),798,43.3
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","29,233",13.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),"2,019",34.9
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),"8,356",20.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"30,757",21.7
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),655,31.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",TOTAL,NOT SPECIFIED,"110,839",11
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,CASS,25,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","1,205",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,CASS,25,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES),13,(H)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,EAST,60,CASS,25,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),18,22.1
