County Name,FIPS Code,Total2014,Total2012,Total2010,Total2008,Total2006,Total2004,Total2002,Total2000,NP2014,NP2012,NP2010,NP2008,NP2006,NP2004,NP2002,NP2000,GOP2014,GOP2012,GOP2010,GOP2008,GOP2006,GOP2004,GOP2002,GOP2000,Dem2014,Dem2012,Dem2010,Dem2008,Dem2006,Dem2004,Dem2002,Dem2000
PIERCE,139,4743,4818,4875,4965,4912,4976,4852,4956,729,684,663,617,540,522,445,439,3197,3213,3187,3252,3271,3197,3121,3152,812,919,1025,1083,1089,1247,1285,1364
PLATTE,141,19426,19112,19435,19829,20051,20226,19231,19296,2922,2829,2774,2532,2524,2390,2090,2053,11571,10977,10997,11185,11534,11345,10639,10463,4874,5282,5658,5966,5873,6354,6443,6755
POLK,143,3442,3433,3507,3691,3715,3838,3764,3863,445,427,407,422,407,436,406,395,2227,2167,2191,2268,2320,2336,2280,2303,765,836,908,980,961,1051,1074,1163
RED WILLOW,145,7166,7213,7328,7654,7703,8092,7949,7917,1373,1368,1355,1276,1208,1221,1168,1140,4437,4262,4301,4475,4581,4773,4641,4589,1331,1565,1668,1830,1852,2034,2104,2174
RICHARDSON,147,6026,6081,6186,6378,6604,6777,6661,6825,944,864,842,788,776,736,723,718,3096,3102,3171,3245,3462,3458,3375,3434,1968,2105,2172,2313,2337,2565,2552,2667
ROCK,149,1027,1039,1061,1100,1105,1148,1135,1185,76,70,71,70,66,76,67,76,824,828,829,841,860,858,850,871,127,141,161,185,176,212,218,237
SALINE,151,7904,7879,8012,8287,8636,8682,8580,8461,1420,1365,1353,1259,1262,1164,1053,991,3013,2938,2945,3002,3242,3177,3094,3023,3441,3564,3710,3940,4068,4286,4409,4442
SARPY,153,101371,95239,92774,91350,84555,82617,72744,71106,25949,23153,21894,19861,17498,15546,12822,12486,47198,44743,43651,43353,42293,41211,36207,34977,27549,27104,27183,27373,24230,25043,23326,23457
SAUNDERS,155,14406,14208,14181,14533,14397,13819,13616,13663,2378,2213,2097,1963,1900,1673,1578,1586,7816,7323,7229,7320,7482,6736,6481,6278,4169,4663,4852,5161,4942,5349,5526,5786
SCOTTS BLUFF,157,24086,23649,23873,23845,22789,23867,23695,23732,4868,4387,4306,3845,3388,3324,3241,3419,12822,12639,12738,12733,12695,13196,13105,12558,6298,6581,6817,7042,6548,7153,7251,7720
SEWARD,159,10612,10558,10898,10904,11468,10936,10628,10459,1859,1722,1778,1612,1732,1545,1466,1464,5820,5721,5846,5824,6149,5770,5477,5251,2904,3110,3272,3390,3527,3552,3648,3733
SHERIDAN,161,4017,4097,4111,4287,4426,4543,4546,4498,593,578,557,524,517,471,450,438,2687,2708,2711,2826,2962,3040,3063,3008,722,808,843,920,940,1010,1014,1046
SHERMAN,163,2054,2022,2104,2194,2251,2413,2460,2476,202,168,173,161,159,175,175,209,953,920,935,955,968,1206,1226,989,893,933,996,1064,1116,1022,1052,1271
SIOUX,165,930,900,909,915,943,1093,1034,1102,110,102,107,106,112,138,124,131,705,685,677,668,684,759,722,758,109,113,125,138,147,194,186,213
STANTON,167,3718,3768,3858,3977,4037,4086,3981,4079,528,509,509,489,460,402,362,379,2408,2443,2516,2605,2706,2760,2724,2760,769,812,833,856,852,904,885,938
THAYER,169,3853,3743,3789,3948,3880,4096,4111,4221,590,496,479,470,438,442,396,383,2338,2270,2298,2272,2276,2344,2371,2447,920,976,1012,1187,1156,1298,1338,1389
THOMAS,171,528,509,508,505,543,553,647,630,52,40,34,35,41,38,36,31,420,399,399,391,418,427,483,475,56,69,75,75,80,86,127,123
THURSTON,173,4563,4360,4410,4450,4535,4534,4180,4117,624,580,576,518,493,417,347,355,1231,1320,1323,1324,1352,1355,1307,1354,2702,2459,2511,2573,2660,2730,2514,2408
VALLEY,175,2991,3039,3177,3285,3388,3612,3550,3462,334,326,340,304,310,328,328,305,1831,1827,1904,1942,2033,2096,2085,2012,818,884,933,1013,1023,1170,1131,1141
WASHINGTON,177,14035,13901,13937,13881,13585,12942,11855,12807,2821,2698,2628,2441,2254,1906,1628,1864,7866,7673,7612,7629,7779,7462,6902,7279,3290,3506,3695,3750,3524,3508,3289,3649
WAYNE,179,5186,5205,5303,5502,5496,6613,6543,6546,818,791,804,820,779,1083,1009,1019,3258,3277,3296,3338,3445,3862,3878,3802,1083,1134,1203,1325,1259,1640,1643,1718
WEBSTER,181,2480,2575,2612,2672,2665,2771,2713,2849,369,362,343,328,305,319,311,342,1461,1494,1511,1529,1541,1543,1502,1545,643,715,757,808,813,901,896,962
WHEELER,183,655,649,654,608,601,624,626,614,54,56,50,40,41,40,40,47,458,438,449,417,414,417,409,360,140,154,155,149,146,167,177,207
YORK,185,10225,10261,10789,10942,10870,11100,10727,10590,1490,1401,1431,1338,1272,1215,1102,1066,6829,6840,7167,7287,7371,7446,7236,7105,1883,2009,2189,2277,2195,2392,2372,2414
